,device,version
11694,Simpnews ,2.x
11695,Andy Mack ,35mmSlideGallery6.0
11696,Andy Mack ,35mmSlideGallery6.0
11697,Woltlab Burning Board ,2.x
11698,Confixx ,3.0/3.1
11699,Confixx ,3.0/3.1
11700,Confixx ,3.0/3.1
11701,ISPConfig ,2.2.3
11702,vBulletin ,2.x/3.x
11703,HotPlug CMS ,1
11704,MPCS ,0.2
11705,VBZoom ,1.11
11706,VBZoom ,1.11
11707,mcGuestbook ,1.3
11708,mcGuestbook ,1.3
11709,mcGuestbook ,1.3
11710,Indexu ,5.0.1
11711,dotWidget for articles ,2
11712,dotWidget for articles ,2
11713,dotWidget for articles ,2
11714,dotWidget for articles ,2
11715,dotWidget for articles ,2
11716,dotWidget for articles ,2
11717,dotWidget for articles ,2
11718,CMS Faethon ,1.3.2
11719,CMS Faethon ,1.3.2
11720,CubeCart ,3.0.x
11721,Plexum PlexCart X,5
11722,Plexum PlexCart X,5
11723,SaphpLesson ,1.1/2.0/3.0
11724,Datecomm ,1.1
11725,e,1070.7.5
11726,Qto File Manager ,1
11727,Singapore ,0.9.x/0.10
11728,Singapore ,0.9.x/0.10
11729,V,3ChatInstantMessenger
11730,V,3ChatInstantMessenger
11731,V,3ChatInstantMessenger
11732,V,3ChatInstantMessenger
11733,V,3ChatInstantMessenger
11734,V,3ChatInstantMessenger
11735,V,3ChatInstantMessenger
11736,V,3ChatInstantMessenger
11737,vBulletin ,3.0.9/3.5.x
11738,e,1070.7.5
11739,PHP Event Calendar ,4.2
11740,Woltlab Burning Board ,1.2/2.0/2.3
11741,Woltlab Burning Board ,1.2/2.0/2.3
11742,Woltlab Burning Board ,1.2/2.0/2.3
11743,MyBulletinBoard (MyBB) ,1.0.x/1.1.x
11744,SoftBizScripts Dating Script ,1
11745,SoftBizScripts Dating Script ,1
11746,SoftBizScripts Dating Script ,1
11747,SoftBizScripts Dating Script ,1
11748,Dating Agent ,4.7.1
11749,PHP Blue Dragon CMS ,2.9.1
11750,Custom Dating Biz ,1
11751,Winged Gallery ,1
11752,ADODB ,4.6/4.7
11753,eNpaper,1
11754,eNpaper,1
11755,cPanel ,10
11756,MyMail ,1
11757,Usenet ,0.5
11758,MVNForum Activatemember ,1
11759,OpenGuestbook ,0.5
11760,OpenGuestbook ,0.5
11761,cPanel ,10.8.1/10.8.2
11762,CrisoftRicette ,1
11763,MF Piadas ,1
11764,MF Piadas ,1
11765,MF Piadas ,1
11766,MF Piadas ,1
11767,MF Piadas ,1
11768,MF Piadas ,1
11769,MKPortal ,1.0.1
11770,MKPortal ,1.0.1
11771,MKPortal ,1.0.1
11772,CMS Mini ,0.2.2
11773,Practico CMS ,13.7
11774,PHP ICalender ,2.22
11775,newsPHP ,2006PRO
11776,newsPHP ,2006PRO
11777,newsPHP ,2006PRO
11778,newsPHP ,2006PRO
11779,SoftBiz Banner Exchange Script ,1
11780,SoftBiz Banner Exchange Script ,1
11781,SoftBiz Banner Exchange Script ,1
11782,SoftBiz Banner Exchange Script ,1
11783,SoftBiz Banner Exchange Script ,1
11784,SoftBiz Banner Exchange Script ,1
11785,SoftBiz Banner Exchange Script ,1
11786,Vincent Leclercq News ,5.2
11787,Plume CMS ,1.0.4
11788,Plume CMS ,1.0.4
11789,Plume CMS ,1.0.4
11790,free QBoard ,1.1
11791,free QBoard ,1.1
11792,free QBoard ,1.1
11793,free QBoard ,1.1
11794,free QBoard ,1.1
11795,free QBoard ,1.1
11796,free QBoard ,1.1
11797,VirtuaStore ,2
11798,QTO File Manager ,1
11799,Glossaire ,1.7
11800,PHPWebGallery ,1.x
11801,Randshop ,0.9.3/1.2
11802,PostNuke ,0.6x/0.7x
11803,LifeType ,1.0.5
11804,Invision Power Board (IP.Board) ,1.x/2.x
11805,Blog:CMS ,4.1
11806,Blog:CMS ,4.1
11807,Moodle ,2.3.8/2.4.5
11808,ATutor ,1.5.x
11809,ATutor ,1.5.x
11810,ATutor ,1.5.x
11811,ATutor ,1.5.x
11812,ATutor ,1.5.x
11813,glFusion ,1.3.0
11814,Extcalendar ,2
11815,AjaXplorer ,1
11816,ATutor ,1.5.3
11817,ATutor ,1.5.3
11818,Mambo Componen phpBB ,1.2.4
11819,Farsinews ,3
11820,Graffiti Forums ,1
11821,SaPHPLesson ,2
11822,SaPHPLesson ,2
11823,Fantastic Guestbook ,2.0.1
11824,Lazarus Guestbook ,1.6
11825,Lazarus Guestbook ,1.6
11826,PhotoCycle ,1
11827,PHP Event Calendar ,1.4
11828,FlatNuke ,2.5.7
11829,Forum ,5
11830,Dream,4KoobiPro5.6
11831,Dream,4KoobiPro5.6
11832,VisNetic Mail Server ,8.3.5
11833,ListMessenger ,0.9.3
11834,Mambo Module Calendar ,1.5.7
11835,IDevSpot PHPLinkExchange ,1
11836,IDevSpot PHPHostBot ,1
11837,GeoAuctions ,1.0.6Enterprise
11838,GeoAuctions ,1.0.6Enterprise
11839,MiniBB ,1.5
11840,Advanced Poll ,2.0.2
11841,Chameleon LE ,1.203
11842,Lussumo Vanilla ,1
11843,Lussumo Vanilla ,1
11844,MusicBox ,2.3.4
11845,Prince Clan Chess Club ,0.8
11846,LinksCaffe ,3
11847,LinksCaffe ,3
11848,LinksCaffe ,3
11849,LinksCaffe ,3
11850,Zimplit CMS ,3
11851,PHPSavant Savant,2
11852,PHP Pro Bid ,5.2.4
11853,PHP Pro Bid ,5.2.4
11854,PHP Pro Bid ,5.2.4
11855,PHP Pro Bid ,5.2.4
11856,PHP Pro Bid ,5.2.4
11857,PHP Pro Bid ,5.2.4
11858,Bosdates ,3.x/4.0
11859,MyBulletinBoard (MyBB) ,1.x
11860,GeoClassifieds Enterprise ,2.0.5.x
11861,GeoClassifieds Enterprise ,2.0.5.x
11862,GeoClassifieds Enterprise ,2.0.5.x
11863,GeoClassifieds Enterprise ,2.0.5.x
11864,GeoClassifieds Enterprise ,2.0.5.x
11865,Joomla! Component Liga Manager Online ,2
11866,Joomla! Component Liga Manager Online ,2
11867,Joomla! Component Liga Manager Online ,2
11868,Ajax Chat ,0.1
11869,Banex PHP MySQL Banner Exchange ,2.21
11870,Banex PHP MySQL Banner Exchange ,2.21
11871,Banex PHP MySQL Banner Exchange ,2.21
11872,Seir Anphin V,666CommunityManagementSystem
11873,Moskool ,1.5Component
11874,myEvent ,1.2/1.3
11875,Help Center Live ,2.1.2
11876,TinyPHPForum ,3.6
11877,WoW Roster ,1.5
11878,WoW Roster ,1.5
11879,Knusperleicht FAQ ,1.0Script
11880,Knusperleicht Guestbook ,3.5
11881,TinyPHPForum ,3.6
11882,TinyPHPForum ,3.6
11883,BlackBoard Products ,6
11884,VWar ,1.x
11885,VWar ,1.x
11886,OpenEMR ,4.1.1Patch14
11887,Western Digital Arkeia Appliance ,10.0.10
11888,vBulletin ,3.0.14
11889,XennoBB ,2.1
11890,TurnkeyWebTools PHP Simple Shop ,2
11891,VWar ,1.5
11892,VWar ,1.5
11893,VWar ,1.5
11894,VWar ,1.5
11895,VWar ,1.5
11896,VWar ,1.5
11897,VWar ,1.5
11898,phpPrintAnalyzer ,1.1
11899,Simple One File Guestbook ,1
11900,CLUB Nuke ,2
11901,XennoBB ,1.0.5/1.0.6/2.1/2.2
11902,MyBloggie ,2.1.x
11903,Mafia Moblog ,6
11904,YaBBSE ,1.x
11905,Tiny Web Gallery ,1.5
11906,WordPress Plugin Complete Gallery Manager ,3.3.3
11907,miniBloggie ,1
11908,WEBinsta Mailing List Manager ,1.3
11909,WEBinsta Mailing List Manager ,1.3
11910,WEBinsta Mailing List Manager ,1.3
11911,Lizge ,20
11912,Zen Cart Web Shopping Cart ,1.3.0.2
11913,Fusionphp Fusion News ,3.7
11914,Mambo Component Reporter ,1
11915,CubeCart ,3.0.x
11916,Blog:CMS ,4.1
11917,Mambo Component LMTG Myhomepage ,1.2
11918,Mambo Component Rssxt ,1
11919,XennoBB ,1.0.x/2.2
11920,Western Digital Arkeia < ,10.0.10
11921,OpenEMR ,4.1.1Patch14
11922,vTiger CRM ,5.4.0
11923,vTiger CRM ,5.4.0
11924,vTiger CRM ,5.4.0
11925,vTiger CRM ,5.4.0
11926,cPanel ,10.x
11927,cPanel ,10.x
11928,cPanel ,10.x
11929,Mambo Component EstateAgent ,1.0.2
11930,ToendaCMS ,0.x/1.0.x
11931,PHProjekt Content Management Module ,0.6.1
11932,PHProjekt Content Management Module ,0.6.1
11933,PHProjekt Content Management Module ,0.6.1
11934,RedBlog ,0.5
11935,Headline Portal Engine ,0.x/1.0
11936,YaPiG ,0.9x
11937,MyBB ,1.1.7
11938,Jupiter CMS ,1.1.5
11939,Jetbox CMS ,2.1
11940,BigACE ,1.8.2
11941,BigACE ,1.8.2
11942,BigACE ,1.8.2
11943,BigACE ,1.8.2
11944,Alstrasoft Video Share Enterprise ,4.x
11945,Joomla! / Mambo Component Comprofiler ,1
11946,HLstats ,1.34
11947,HLstats ,1.34
11948,IwebNegar ,1.1
11949,LinksCaffe ,2.0/3.0
11950,LinksCaffe ,2.0/3.0
11951,HLstats ,1.34
11952,osCommerce ,2.1/2.2
11953,WordPress Plugin Lazy SEO ,1.1.9
11954,EZContents ,2.0.3
11955,EZContents ,2.0.3
11956,EZContents ,2
11957,EZContents ,2.0.3
11958,EZContents ,2.0.3
11959,EZContents ,2.0.3
11960,EZContents ,2.0.3
11961,EZContents ,2.0.3
11962,EZContents ,2.0.3
11963,EZContents ,2.0.3
11964,VisualShapers EZContents ,2.0.3
11965,VisualShapers EZContents ,2.0.3
11966,VisualShapers EZContents ,2.0.3
11967,ExBB ,1.9.1
11968,YACS ,6.6.1
11969,VBZoom ,1.11
11970,ToendaCMS ,0.x/1.0.x
11971,Papoo CMS ,3.2
11972,Autentificator ,2.01
11973,OpenEMR ,4.1.1Patch14
11974,Autentificator ,2.01
11975,Autentificator ,2.01
11976,Autentificator ,2.01
11977,Autentificator ,2.01
11978,SoftBB ,0.1
11979,SoftBB ,0.1
11980,SoftBB ,0.1
11981,AckerTodo ,4
11982,TWiki ,4.0.x
11983,TWiki ,4.0.x
11984,Vikingboard ,0.1b
11985,Vikingboard ,0.1b
11986,Vikingboard ,0.1
11987,Vikingboard ,0.1
11988,Vikingboard ,0.1
11989,PHP ,3<5
11990,PHProg ,1
11991,XHP CMS ,0.5.1
11992,PHProg ,1
11993,PHProg ,1
11994,IDevSpot iSupport ,1.8
11995,IDevSpot iSupport ,1.8
11996,IDevSpot iSupport ,1.8
11997,IDevSpot iSupport ,1.8
11998,IDevSpot iSupport ,1.8
11999,Ractive Popper ,1.41
12000,Telekorn Signkorn Guestbook ,1.x
12001,Telekorn Signkorn Guestbook ,1.x
12002,Telekorn Signkorn Guestbook ,1.x
12003,Telekorn Signkorn Guestbook ,1.x
12004,Telekorn Signkorn Guestbook ,1.x
12005,Telekorn Signkorn Guestbook ,1.x
12006,Telekorn Signkorn Guestbook ,1.x
12007,Telekorn Signkorn Guestbook ,1.x
12008,Telekorn Signkorn Guestbook ,1.x
12009,Telekorn Signkorn Guestbook ,1.x
12010,Telekorn Signkorn Guestbook ,1.x
12011,Telekorn Signkorn Guestbook ,1.x
12012,Telekorn Signkorn Guestbook ,1.x
12013,Telekorn Signkorn Guestbook ,1.x
12014,Telekorn Signkorn Guestbook ,1.x
12015,Telekorn Signkorn Guestbook ,1.x
12016,Telekorn Signkorn Guestbook ,1.x
12017,Telekorn Signkorn Guestbook ,1.x
12018,Telekorn Signkorn Guestbook ,1.x
12019,Telekorn Signkorn Guestbook ,1.x
12020,ForumJBC ,4
12021,K,2NewsManagement1.3
12022,e,107websitesystem0.7.5
12023,e,107websitesystem0.7.5
12024,e,107websitesystem0.7.5
12025,e,107websitesystem0.7.5
12026,e,107websitesystem0.7.5
12027,e,107websitesystem0.7.5
12028,e,107websitesystem0.7.5
12029,e,107websitesystem0.7.5
12030,e,107websitesystem0.7.5
12031,X,2CRM3.4.1
12032,Piwigo ,2.5.2
12033,Piwigo ,2.5.2
12034,PHP Event Calendar ,1.4/1.5
12035,NX,5Linkx1.0
12036,NX,5Linkx1.0
12037,ActiveCampaign KnowledgeBuilder ,2.2
12038,ActiveCampaign KnowledgeBuilder ,2.2
12039,ActiveCampaign KnowledgeBuilder ,2.2
12040,ActiveCampaign KnowledgeBuilder ,2.2
12041,Blojsom ,2.31
12042,PhotoPost Pro ,4.6
12043,PhotoPost Pro ,4.6
12044,Jupiter CMS ,1.1.4/1.1.5
12045,Jupiter CMS ,1.1.4/1.1.5
12046,Jupiter CMS ,1.1.4/1.1.5
12047,Jupiter CMS ,1.1.4/1.1.5
12048,Jupiter CMS ,1.1.4/1.1.5
12049,Jupiter CMS ,1.1.4/1.1.5
12050,Hitweb ,3
12051,Hitweb ,3
12052,Hitweb ,3
12053,Artmedic Links ,5
12054,IDevSpot BizDirectory ,1.9
12055,NixieAffiliate ,1.9
12056,PT News ,1.7.8
12057,Innovate Portal ,2
12058,ESyndiCat ,1.5
12059,RedBLoG ,0.5
12060,RedBLoG ,0.5
12061,RedBLoG ,0.5
12062,RedBLoG ,0.5
12063,RedBLoG ,0.5
12064,BandSite CMS ,1.1
12065,BandSite CMS ,1.1
12066,BandSite CMS ,1.1
12067,BandSite CMS ,1.1
12068,BandSite CMS ,1.1
12069,BandSite CMS ,1.1
12070,BandSite CMS ,1.1
12071,BandSite CMS ,1.1
12072,BandSite CMS ,1.1
12073,BandSite CMS ,1.1
12074,BandSite CMS ,1.1
12075,BandSite CMS ,1.1
12076,BandSite CMS ,1.1
12077,BandSite CMS ,1.1
12078,BandSite CMS ,1.1
12079,BandSite CMS ,1.1
12080,BandSite CMS ,1.1
12081,BandSite CMS ,1.1
12082,BandSite CMS ,1.1
12083,BandSite CMS ,1.1
12084,BandSite CMS ,1.1
12085,BandSite CMS ,1.1
12086,Google Mini Search Appliance ,4.4.102.M.36
12087,CakePHP ,1.1.7.3363
12088,mysource ,2.14.8/2.16
12089,PLESK ,7.5/7.6
12090,XAMPP ,1.8.1
12091,SimpleRisk ,20130915
12092,MyPhotos ,0.1.3b
12093,cPanel ,5
12094,ToendaCMS ,1.0.4
12095,ToendaCMS ,1.0.4
12096,ToendaCMS ,1.0.4
12097,Opial AV Download Management ,1
12098,WWWThreads ,5.4
12099,BirdBlog ,1.x
12100,BirdBlog ,1.x
12101,BirdBlog ,1.x
12102,DanPHPSupport ,0.5
12103,DanPHPSupport ,0.5
12104,BBSNew ,2.0.1
12105,Exporia ,0.3
12106,Exporia ,0.3
12107,Exporia ,0.3
12108,Exporia ,0.3
12109,Gnew ,2013.1
12110,GLPI ,0.84.1
12111,GLPI ,0.84.1
12112,PHP_news ,2
12113,PHP_news ,2
12114,PHP_news ,2
12115,PHP_news ,2
12116,Quickblogger ,1.4
12117,Quickblogger ,1.4
12118,Quickblogger ,1.4
12119,vBulletin ,2.3.x
12120,CubeCart ,3.0.x
12121,CubeCart ,3.0.x
12122,CubeCart ,3.0.x
12123,CubeCart ,3.0.x
12124,CubeCart ,3.0.x
12125,CubeCart ,3.0.x
12126,CubeCart ,3.0.x
12127,CubeCart ,3.0.x
12128,CubeCart ,3.0.x
12129,CubeCart ,3.0.x
12130,elproLOG MONITOR Webaccess ,2.1
12131,FlashChat ,6.0.2<6.0.8
12132,PHP Invoice ,2.2
12133,CMS Formulasi ,2.07
12134,OpenEMR ,4.1.1Patch14
12135,CMS Formulasi ,2.07
12136,MKPortal ,1.0/1.1
12137,Joomla! Component VirtueMart Joomla! eCommerce Edition ,1.0.11
12138,Web//News ,1.4
12139,Red Mombin ,0.7
12140,Red Mombin ,0.7
12141,Aanval ,7.1
12142,Les Visiteurs ,2
12143,OlateDownload ,3.4
12144,phpBB XS ,0.58
12145,OlateDownload ,3.4
12146,OlateDownload ,3.4
12147,OlateDownload ,3.4
12148,OlateDownload ,3.4
12149,OlateDownload ,3.4
12150,DeluxeBB ,1.09
12151,DeluxeBB ,1.09
12152,Digishop ,4
12153,HAMweather ,3.9.8
12154,Yener Haber Script ,1.0/2.0
12155,osCommerce ,2.2
12156,osCommerce ,2.2
12157,osCommerce ,2.2
12158,osCommerce ,2.2
12159,osCommerce ,2.2
12160,osCommerce ,2.2
12161,osCommerce ,2.2
12162,osCommerce ,2.2
12163,osCommerce ,2.2
12164,osCommerce ,2.2
12165,osCommerce ,2.2
12166,osCommerce ,2.2
12167,osCommerce ,2.2
12168,osCommerce ,2.2
12169,osCommerce ,2.2
12170,osCommerce ,2.2
12171,osCommerce ,2.2
12172,PHP ,3<5
12173,WikyBlog ,1.2.x
12174,AckerTodo ,4.2
12175,AckerTodo ,4.2
12176,Moodle Blog ,1.18.2.2/1.6.2Module
12177,PHP Polling Creator ,1.03
12178,ISearch ,2.16
12179,Deep CMS ,2
12180,phpWebSite ,0.10.2
12181,EXPBlog ,0.3.5
12182,Hastymail ,1.x
12183,ironwebmail ,6.1.1
12184,Album Photo Sans Nom ,1.6
12185,Softerra PHP Developer Library ,1.5.3
12186,BlueShoes Framework ,4.6
12187,Tagit,2b
12188,MySQLDumper ,1.21
12189,Gcards ,1.13
12190,CommunityPortals ,1
12191,Dokeos ,1.6.4
12192,phpList ,2.x
12193,PHP TopSites FREE ,1.022b
12194,MamboLaiThai ExtCalThai ,0.9.1
12195,MamboLaiThai ExtCalThai ,0.9.1
12196,4Images ,1.7
12197,FreeWPS ,2.11
12198,Buzlas ,2006
12199,Bloq ,0.5.4
12200,Bloq ,0.5.4
12201,Bloq ,0.5.4
12202,Bloq ,0.5.4
12203,Bloq ,0.5.4
12204,Bloq ,0.5.4
12205,Xoops ,2.2.3
12206,Xoops ,2.2.3
12207,WHMCompleteSolution (WHMCS) ,5.2.7
12208,WordPress Plugin Quick Contact Form ,6
12209,WordPress Plugin Quick Contact Form ,6
12210,WordPress Plugin Quick Contact Form ,6
12211,Mambo Module MOStlyCE ,4.5.4
12212,Lodel CMS ,0.7.3
12213,Webgenius Goop Gallery ,2
12214,Maintain ,3.0.0
12215,PowerMovieList ,0.13/0.14
12216,phpList ,2.10.2
12217,Dev Web Manager System ,1.5
12218,Cerberus Helpdesk ,3.2.1
12219,PHP Live Helper ,1.17
12220,Zorum ,3.5
12221,Free FAQ ,1
12222,Simple Machines Forum (SMF) ,1.0/1.1
12223,ATutor ,1.5.3
12224,Casinosoft Casino Script ,3.2
12225,Casinosoft Casino Script ,3.2
12226,SchoolAlumni Portal ,2.26
12227,SchoolAlumni Portal ,2.26
12228,Zwahlen's Online Shop ,5.2.2
12229,cPanel ,10.9
12230,cPanel ,10.9
12231,cPanel ,10.9
12232,WikiNi ,0.4.x
12233,Crafty Syntax Live Help ,2.9.9
12234,Simpnews ,2.x
12235,Simpnews ,2.x
12236,Comment IT ,0.2
12237,PHPMyConferences ,8.0.2
12238,PHPMyConferences ,8.0.2
12239,PHPLeague ,0.81
12240,PHPTreeView ,1
12241,IG Shop ,1.4
12242,TorrentFlux ,2.1
12243,TorrentFlux ,2.1
12244,PunBB ,1.x
12245,Actionpoll ,1.1.1
12246,Actionpoll ,1.1.1
12247,Exhibit Engine ,1.22
12248,Exhibit Engine ,1.22
12249,Freenews ,1.1
12250,Freenews ,1.1
12251,phpFaber CMS ,1.3.36
12252,Easy Web Portal ,2.1.2
12253,Easy Web Portal ,2.1.2
12254,The Search Engine Project ,0.942
12255,Netquery ,4
12256,Netquery ,4
12257,Netquery ,4
12258,Netquery ,4
12259,KnowledgeBuilder ,2.2
12260,RunCMS ,1.x
12261,FreeWebShop ,2.2
12262,NewP News Publishing System ,1
12263,ac,4pMobile
12264,ac,4pMobile
12265,ac,4pMobile
12266,ac,4pMobile
12267,ac,4pMobile
12268,ac,4pMobile
12269,Simplog ,0.9.3
12270,Simplog ,0.9.3
12271,Advanced Guestbook ,2.3.1
12272,Advanced Guestbook ,2.3.1
12273,PHPKit ,1.6.1
12274,cid Stats ,2.3
12275,Xoops ,2.0.5
12276,AIOCP ,1.3.x
12277,AIOCP ,1.3.x
12278,AIOCP ,1.3.x
12279,AIOCP ,1.3.x
12280,AIOCP ,1.3.x
12281,AIOCP ,1.3.x
12282,AIOCP ,1.3.x
12283,AIOCP ,1.3.x
12284,AIOCP ,1.3.x
12285,AIOCP ,1.3.x
12286,AIOCP ,1.3.x
12287,AIOCP ,1.3.x
12288,AIOCP ,1.3.x
12289,AIOCP ,1.3.x
12290,AIOCP ,1.3.x
12291,AIOCP ,1.3.x
12292,AIOCP ,1.3.x
12293,AIOCP ,1.3.x
12294,AIOCP ,1.3.x
12295,AIOCP ,1.3.x
12296,AIOCP ,1.3.x
12297,IPManager ,2.3
12298,Kayako SupportSuite ,3.0.32
12299,PHPMyChat ,0.14/0.15
12300,FreeWebShop ,2.1/2.2
12301,FreeWebShop ,2.1/2.2
12302,Abarcar Realty Portal ,5.1.5/6.0.1
12303,PHPMyChat Plus ,1.9
12304,PHPMyChat Plus ,1.9
12305,Speedywiki ,2.0/2.1
12306,bitweaver ,1.x
12307,LandShop ,0.6.3
12308,LandShop ,0.6.3
12309,LandShop ,0.6.3
12310,Bitweaver ,1.x
12311,Bitweaver ,1.x
12312,StatusNet/Laconica ,0.7.4/0.8.2/0.9.0beta3
12313,WordPress Plugin Cart,661.5.1.14
12314,aMSN ,0.98.9WebApp
12315,Bitweaver ,1.x
12316,Bitweaver ,1.x
12317,Bitweaver ,1.x
12318,ExoPHPDesk ,1.2
12319,ExoPHPDesk ,1.2
12320,Dolibarr ERP/CRM ,3.4.0
12321,WordPress Core ,2.0.5
12322,cPanel ,10
12323,cPanel ,10
12324,Roundcube Webmail ,0.1
12325,WebTester ,5.x
12326,PHPdebug ,1.1
12327,DirectAdmin ,1.28/1.29
12328,DirectAdmin ,1.28/1.29
12329,DirectAdmin ,1.28/1.29
12330,DirectAdmin ,1.28/1.29
12331,DirectAdmin ,1.28/1.29
12332,DirectAdmin ,1.28/1.29
12333,DirectAdmin ,1.28/1.29
12334,DirectAdmin ,1.28/1.29
12335,Plesk ,7.5/8.0
12336,Plesk ,7.5/8.0
12337,Zikula CMS ,1.3.5
12338,WordPress Plugin Quick Paypal Payments ,3
12339,WordPress Plugin Quick Paypal Payments ,3
12340,Woltlab Burning Board Regenbogenwiese ,2007Addon
12341,Woltlab Burning Board Regenbogenwiese ,2007Addon
12342,Woltlab Burning Board Regenbogenwiese ,2007Addon
12343,Woltlab Burning Board Regenbogenwiese ,2007Addon
12344,BlogTorrent Preview ,0.92
12345,Odysseus Blog ,1
12346,Sphpblog ,0.8
12347,phpMyAdmin ,2.x
12348,phpMyAdmin ,2.x
12349,phpMyAdmin ,2.x
12350,phpMyAdmin ,2.x
12351,phpMyAdmin ,2.x
12352,WHMCompleteSolution (WHMCS) ,5.2.8
12353,WordPress Theme Area,53
12354,cPanel ,10
12355,PHP Upload Tool ,1
12356,vBulletin ,3.6.x
12357,ZonPHP ,2.25
12358,Blog:CMS ,4.1.3
12359,Boonex ,2.0Dolphin
12360,BirdBlog ,1.4
12361,BirdBlog ,1.4
12362,BirdBlog ,1.4
12363,BirdBlog ,1.4
12364,Vikingboard ,0.1.2
12365,Wabbit PHP Gallery ,0.9
12366,WordPress Theme SAICO ,1.0<1.0.2
12367,Seditio ,1.1
12368,CuteNews ,1.4.5
12369,CuteNews ,1.4.5
12370,My Little Weblog ,2006.11.21
12371,PMOS Help Desk ,2.3
12372,PMOS Help Desk ,2.3
12373,Active PHP BookMarks ,1.1.2
12374,Simple PHP Gallery ,1.1
12375,MMGallery ,1.55
12376,cPanel ,11Beta
12377,cPanel WebHost Manager ,3.1
12378,cPanel WebHost Manager ,3.1
12379,cPanel WebHost Manager ,3.1
12380,cPanel WebHost Manager ,3.1
12381,cPanel WebHost Manager ,3.1
12382,cPanel WebHost Manager ,3.1
12383,cPanel WebHost Manager ,3.1
12384,b,2evolution1.8.2/1.9
12385,b,2evolution1.8.2/1.9
12386,b,2evolution1.8.2/1.9
12387,Seditio,1.10/LandDown8.0Under
12388,Woltlab Burning Board ,2.3.x
12389,Invision Gallery ,2.0.7
12390,DZCP (deV!L_z Clanportal) ,1.3.6
12391,Open Flash Chart ,2
12392,ZonPHP ,2.25
12393,FreeQBoard ,1.0/1.1
12394,CuteNews ,1.3.6
12395,PHPNews ,1.3
12396,Cerberus Helpdesk ,2.x
12397,Inside Systems Mail ,2
12398,ac,4pMobile
12399,ac,4pMobile
12400,DZCP (deV!L_z Clanportal) ,1.3.6
12401,DZCP (deV!L_z Clanportal) ,1.3.6
12402,cPanel ,11BoxTrapper
12403,cPanel Web Hosting Manager ,3.1
12404,PHP ,5.2
12405,Messageriescripthp ,2
12406,Messageriescripthp ,2
12407,Messageriescripthp ,2
12408,Messageriescripthp ,2
12409,AnnonceScriptHP ,2
12410,AnnonceScriptHP ,2
12411,AnnonceScriptHP ,2
12412,AnnonceScriptHP ,2
12413,AnnonceScriptHP ,2
12414,AnnonceScriptHP ,2
12415,AnnonceScriptHP ,2
12416,AnnonceScriptHP ,2
12417,KDPics ,1.11/1.16
12418,KDPics ,1.11/1.16
12419,PHP RSS Reader ,2010
12420,Onpub CMS ,1.4/1.5
12421,ILIAS eLearning CMS ,4.3.4<4.4
12422,ProNews ,1.5
12423,ProNews ,1.5
12424,ProNews ,1.5
12425,MXBB Profile Control Panel ,0.91c
12426,CMS Made Simple ,1.0.2
12427,Horde Groupware Web Mail Edition ,5.1.2
12428,Work System eCommerce ,3.0.3/3.0.4
12429,Olat CMS ,7.8.0.1
12430,GTX CMS ,2013Optima
12431,GenesisTrader ,1
12432,GenesisTrader ,1
12433,Moodle ,1.5/1.6
12434,Moodle ,1.5/1.6
12435,Apache + PHP < ,5.3.12/<5.4.2
12436,Knusperleicht Shoutbox ,2.6
12437,osTicket ,1.2/1.3SupportCards
12438,Mini Web Shop ,2.1.c
12439,Typo,33.7/3.8/4.0
12440,PHPBuilder ,0.0.2
12441,Calacode @Mail Webmail ,4.51
12442,Calacode @Mail Webmail ,4.51
12443,Oracle Portal ,9i/10g
12444,Oracle Portal ,9i/10g
12445,Oracle Portal ,9i/10g
12446,Oracle Portal ,9i/10g
12447,Apache + PHP < ,5.3.12/<5.4.2
12448,ImpressPages CMS ,3.6
12449,vTiger CRM ,5.3.05.4.0
12450,NAS,4Free
12451,NAS,4Free
12452,NAS,4Free
12453,Opsview pre ,4.4.1
12454,ImpressPages CMS ,3.6
12455,WordPress Theme Switchblade ,1.3
12456,ImpressPages CMS ,3.6
12457,WordPress Theme Think Responsive ,1
12458,TimberWolf ,1.2.2
12459,vBulletin ,3.5.x/3.6.x
12460,Luckybot ,3
12461,phpCMS ,1.1.7
12462,phpCMS ,1.1.7
12463,phpCMS ,1.1.7
12464,phpCMS ,1.1.7
12465,phpCMS ,1.1.7
12466,phpCMS ,1.1.7
12467,phpCMS ,1.1.7
12468,phpCMS ,1.1.7
12469,phpCMS ,1.1.7
12470,phpCMS ,1.1.7
12471,pdirl PHP Directory Listing ,1.0.4
12472,WordPress Core ,1.x/2.0.x
12473,PHP iCalendar ,1.1/2.x
12474,PHP iCalendar ,1.1/2.x
12475,PHP iCalendar ,1.1/2.x
12476,PHP iCalendar ,1.1/2.x
12477,PHP iCalendar ,1.1/2.x
12478,PHP iCalendar ,1.1/2.x
12479,PHP iCalendar ,1.1/2.x
12480,PHP iCalendar ,1.1/2.x
12481,PHP iCalendar ,1.1/2.x
12482,Simplog ,0.9.3
12483,Simplog ,0.9.3
12484,AShop Deluxe ,4.5
12485,AShop Deluxe ,4.5
12486,AShop Deluxe ,4.5
12487,AShop Deluxe ,4.5
12488,AShop Deluxe ,4.5
12489,AShop Deluxe ,4.5
12490,RI Blog ,1.3
12491,Coppermine Photo Gallery ,1.4.11
12492,MediaWiki ,1.x
12493,PHPKit ,1.6.1
12494,PHPKit ,1.6.1
12495,PHPKit ,1.6.1
